KYTREASNOX,MCALDT,TMEWRETD
2000041,20080731,3.96E-03
2000041,20080829,3.64E-03
2000041,20080930,7.42E-03
2000041,20081031,7.47E-03
2000041,20081128,1.06E-02
2000041,20081231,5.25E-03
2000041,20090130,-2.30E-03
2000041,20090227,-5.20E-04
2000041,20090331,2.93E-03
2000041,20090430,-1.58E-04
2000041,20090529,1.26E-03
2000041,20090630,-3.09E-04
2000041,20090731,6.27E-04
2000041,20090831,3.95E-03
2000041,20090930,1.59E-03
2000041,20091030,1.97E-03
2000041,20091130,3.26E-03
2000041,20091231,-5.22E-03
2000041,20100129,6.40E-03
2000041,20100226,8.98E-04
2000041,20100331,-1.33E-03
2000041,20100430,1.67E-03
2000041,20100528,2.59E-03
2000041,20100630,2.85E-03
2000041,20100730,1.34E-03
2000041,20100831,1.45E-03
2000041,20100930,1.17E-03
2000041,20101029,1.31E-03
2000041,20101130,-1.07E-03
2000041,20101231,-4.38E-04
2000041,20110131,1.04E-03
2000041,20110228,-1.28E-04
2000041,20110331,-9.63E-04
2000041,20110429,3.70E-03
2000041,20110531,2.04E-03
2000041,20110630,2.45E-04
2000041,20110729,1.00E-03
2000041,20110831,2.39E-03
2000041,20110930,-6.69E-04
2000041,20111031,7.37E-04
2000041,20111130,1.79E-04
2000041,20111230,2.56E-04
2000041,20120131,7.44E-04
2000041,20120229,-9.13E-04
2000041,20120330,-3.42E-04
2000041,20120430,1.25E-03
2000041,20120531,1.47E-04
2000041,20120629,-4.21E-04
2000041,20120731,1.71E-03
2000041,20120831,-4.13E-06
2000041,20120928,1.07E-04
2000041,20121031,-2.02E-04
2000041,20121130,5.14E-04
2000041,20121231,4.93E-04
2000041,20130131,2.96E-04
2000041,20130228,5.06E-04
2000041,20130328,6.86E-05
2000041,20130430,8.51E-04
2000041,20130531,-4.69E-04
2000041,20130628,-2.55E-04
2000041,20130731,1.16E-03
2000041,20130830,-5.65E-04
2000041,20130930,1.60E-03
2000041,20131031,3.78E-04
2000041,20131129,3.93E-04
2000041,20131231,-1.04E-04
2000041,20140131,9.74E-04
2000041,20140228,5.64E-04
2000041,20140331,-9.65E-05
2000041,20140430,7.83E-04
2000041,20140530,8.14E-04
2000041,20140630,-1.66E-04
2000041,20140731,-1.68E-05
2000041,20140829,6.74E-04
2000041,20140930,2.87E-04
2000041,20141031,1.26E-03
2000041,20141128,1.19E-03
2000041,20141231,-2.07E-03
2000041,20150130,3.28E-03
2000041,20150227,-1.44E-03
2000041,20150331,1.21E-03
2000041,20150430,6.10E-04
2000041,20150529,3.66E-04
2000041,20150630,3.80E-04
2000041,20150731,4.19E-04
2000041,20150831,-4.13E-04
2000041,20150930,2.23E-03
2000041,20151030,-7.66E-04
2000041,20151130,-2.15E-03
2000041,20151231,-7.98E-04
2000041,20160129,4.06E-03
2000041,20160229,7.48E-04
2000041,20160331,1.49E-03
2000041,20160429,4.48E-04
2000041,20160531,-7.04E-04
2000041,20160630,4.68E-03
2000041,20160729,-5.78E-04
2000041,20160831,-1.36E-03
2000041,20160930,1.21E-03
2000041,20161031,-4.22E-05
2000041,20161130,-2.53E-03
2000041,20161230,5.00E-04
2000041,20170131,1.55E-03
2000041,20170228,1.99E-04
2000041,20170331,4.46E-04
2000041,20170428,7.01E-04
2000041,20170531,8.07E-04
2000041,20170630,-3.71E-04
2000041,20170731,1.69E-03
2000041,20170831,1.47E-03
2000041,20170929,-8.72E-04
2000041,20171031,-2.59E-04
2000041,20171130,-1.46E-03
2000041,20171229,-5.18E-05
2000041,20180131,-1.09E-03
2000041,20180228,-8.13E-05
2000041,20180329,1.48E-03
2000041,20180430,-7.37E-04
2000041,20180531,2.90E-03
2000041,20180629,6.16E-04
2000041,20180731,5.71E-04
2000041,20180831,2.86E-03
2000041,20180928,-5.59E-04
2000041,20181031,1.69E-03
2000041,20181130,3.10E-03
2000041,20181231,5.69E-03
2000041,20190131,2.62E-03
2000041,20190228,1.17E-03
2000041,20190329,5.02E-03
2000041,20190430,2.04E-03
2000041,20190531,5.76E-03
2000041,20190628,4.17E-03
2000041,20190731,1.42E-05
2000041,20190830,5.83E-03
2000041,20190930,-2.62E-04
2000041,20191031,3.37E-03
2000041,20191129,-1.40E-04
2000041,20191231,2.41E-03
2000042,20000131,-2.86E-03
2000042,20000229,7.10E-03
2000042,20000331,8.00E-03
2000042,20000428,9.56E-04
2000042,20000531,4.71E-03
2000042,20000630,1.20E-02
2000042,20000731,6.45E-03
2000042,20000831,9.57E-03
2000042,20000929,8.46E-03
2000042,20001031,5.93E-03
2000042,20001130,1.13E-02
2000042,20001229,1.46E-02
2000042,20010131,1.42E-02
2000042,20010228,7.76E-03
2000042,20010330,8.07E-03
2000042,20010430,1.02E-03
2000042,20010531,5.41E-03
2000042,20010629,3.05E-03
2000042,20010731,1.47E-02
2000042,20010831,8.37E-03
2000042,20010928,2.08E-02
2000042,20011031,1.37E-02
2000042,20011130,-8.69E-03
2000042,20011231,-2.76E-03
2000042,20020131,3.85E-03
2000042,20020228,6.97E-03
2000042,20020328,-1.16E-02
2000042,20020430,1.49E-02
2000042,20020531,6.46E-03
2000042,20020628,1.05E-02
2000042,20020731,1.76E-02
2000042,20020830,8.51E-03
