PERMNO,date,RET
14593,20070430,0.074158
14593,20070531,0.214339
14593,20070629,0.007005
14593,20070731,0.079646
14593,20070831,0.051002
14593,20070928,0.108247
14593,20071031,0.237701
14593,20071130,-0.040695
14593,20071231,0.087038
14593,20080131,-0.31664
14593,20080229,-0.076389
14593,20080331,0.147816
14593,20080430,0.212195
14593,20080530,0.085082
14593,20080630,-0.112901
14593,20080731,-0.050705
14593,20080829,0.066562
14593,20080930,-0.329558
14593,20081031,-0.053405
14593,20081128,-0.138675
14593,20081231,-0.07899
14593,20090130,0.056005
14593,20090227,-0.009098
14593,20090331,0.177024
14593,20090430,0.197013
14593,20090529,0.079313
14593,20090630,0.048745
14593,20090731,0.14716
14593,20090831,0.0295
14593,20090930,0.101896
14593,20091030,0.016995
14593,20091130,0.060531
14593,20091231,0.054134
14593,20100129,-0.088591
14593,20100226,0.06538
14593,20100331,0.14847
14593,20100430,0.111021
14593,20100528,-0.016125
14593,20100630,-0.020827
14593,20100730,0.022741
14593,20100831,-0.055005
14593,20100930,0.167215
14593,20101029,0.060723
14593,20101130,0.03379
14593,20101231,0.03667
14593,20110131,0.051959
14593,20110228,0.040935
14593,20110331,-0.013314
14593,20110429,0.004656
14593,20110531,-0.006569
14593,20110630,-0.03496
14593,20110729,0.163285
14593,20110831,-0.014469
14593,20110930,-0.009121
14593,20111031,0.061523
14593,20111130,-0.055783
14593,20111230,0.059655
14593,20120131,0.127111
14593,20120229,0.188311
14593,20120330,0.105284
14593,20120430,-0.025969
14593,20120531,-0.010702
14593,20120629,0.010853
14593,20120731,0.045822
14593,20120831,0.093539
14593,20120928,0.002803
14593,20121031,-0.107607
14593,20121130,-0.012413
14593,20121231,-0.090738
14593,20130131,-0.144094
14593,20130228,-0.025116
14593,20130328,0.002855
14593,20130430,0.000271
14593,20130531,0.022596
14593,20130628,-0.118303
14593,20130731,0.141225
14593,20130830,0.083389
14593,20130930,-0.021481
14593,20131031,0.096386
14593,20131129,0.069673
14593,20131231,0.008902
14593,20140131,-0.107697
14593,20140228,0.057311
14593,20140331,0.019953
14593,20140430,0.099396
14593,20140530,0.078293
14593,20140630,0.027662
14593,20140731,0.028731
14593,20140829,0.077092
14593,20140930,-0.017073
14593,20141031,0.07196
14593,20141128,0.105556
14593,20141231,-0.071891
14593,20150130,0.061424
14593,20150227,0.100461
14593,20150331,-0.031372
14593,20150430,0.005786
14593,20150529,0.045146
14593,20150630,-0.037266
14593,20150731,-0.032888
14593,20150831,-0.066117
14593,20150930,-0.021816
14593,20151030,0.083409
14593,20151130,-0.00569
14593,20151231,-0.110228
14593,20160129,-0.075242
14593,20160229,-0.001335
14593,20160331,0.127211
14593,20160429,-0.139921
14593,20160531,0.071368
14593,20160630,-0.04266
14593,20160729,0.090063
14593,20160831,0.023606
14593,20160930,0.065504
14593,20161031,0.004334
14593,20161130,-0.021578
14593,20161230,0.047955
14593,20170131,0.047746
14593,20170228,0.133581
14593,20170331,0.04869
14593,20170428,-0.00007
14593,20170531,0.067804
14593,20170630,-0.057214
14593,20170731,0.032704
14593,20170831,0.106905
14593,20170929,-0.060244
14593,20171031,0.096808
14593,20171130,0.02035
14593,20171229,-0.015246
14593,20180131,-0.010636
14593,20180228,0.06761
14593,20180329,-0.058051
14593,20180430,-0.01502
14593,20180531,0.135181
14593,20180629,-0.009418
14593,20180731,0.027983
14593,20180831,0.200063
14593,20180928,-0.008303
14593,20181031,-0.030478
14593,20181130,-0.180709
14593,20181231,-0.116698
14593,20190131,0.055154
14593,20190228,0.044701
14593,20190329,0.097026
14593,20190430,0.056436
14593,20190531,-0.123735
14593,20190628,0.130519
14593,20190731,0.076394
14593,20190830,-0.01657
14593,20190930,0.072962
14593,20191031,0.110684
14593,20191129,0.077424
14593,20191231,0.098784
